times1_sh;times1_mh;times1_lh;times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;;;;;;;;;;;;;;;;;;
1577923200;1577944800;1577966400;6.782654762;9.604736328;10.51159668;12.40202332;12.43743896;12.45950317;14.1355788;15.71435166;16.30131541;14.1355788;14.33621857;14.53685834;14.73749812;14.93813789;15.13877766;12.5434635;17.23083496;13.78466797;13.83345998;13.88225199;13.931044;13.97983602;14.02862803;11.87457199;11.5;-0.374571992;-1.043463501;12.5434635;-0.03998642
1577926800;1577948400;1577970000;8.564767838;9.873397827;11.04115295;12.72566223;12.36323547;12.33079529;15.33941744;15.82193338;16.55160328;15.33941744;15.34113844;15.34285944;15.34458043;15.34630143;15.34802243;12.66708104;17.59677505;14.07742004;14.13087463;14.18432922;14.23778381;14.2912384;14.34469299;11.93068606;12.4;0.469313939;-0.267081037;12.66708104;0.746285443
1577930400;1577952000;1577973600;9.48707962;10.26519775;10.60667419;12.06689453;12.17956543;12.6680603;15.34974343;15.92846819;16.52214542;15.34974343;15.35361064;15.35747784;15.36134505;15.36521226;15.36907947;12.79069857;17.99768448;14.39814758;14.40006968;14.40199178;14.40391388;14.40583598;14.40775808;11.98680013;11.5;-0.486800131;-1.290698572;12.79069857;-0.267442684
1577934000;1577955600;1577977200;9.711720467;9.953399658;10.50143433;11.91679382;12.41812134;13.01338196;15.37294667;15.91476994;16.72208817;15.37294667;15.34462872;15.31631076;15.2879928;15.25967485;15.23135689;12.91431611;18.01210022;14.40968018;14.43862101;14.46756185;14.49650268;14.52544352;14.55438436;12.0429142;11.4;-0.6429142;-1.514316107;12.91431611;-0.481170821
1577937600;1577959200;1577980800;9.803853989;10.00146484;11.19596863;11.61967468;12.89300537;12.83789063;15.20303893;16.31744118;17.03411721;15.20303893;15.22845519;15.25387146;15.27928772;15.30470398;15.33012024;13.03793364;18.22915649;14.58332519;14.59659576;14.60986633;14.6231369;14.63640747;14.64967804;12.09902827;11.2;-0.899028269;-1.837933642;13.03793364;-0.794898949
1577941200;1577962800;1577984400;9.552889824;10.36013794;11.68902588;12.02226257;13.15861511;12.64476013;15.35553651;16.74758519;17.21985147;15.35553651;15.16163179;14.96772707;14.77382236;14.57991764;14.38601293;13.16155118;18.32868576;14.66294861;14.5968811;14.5308136;14.46474609;14.39867859;14.33261108;12.15514234;11.3;-0.855142339;-1.861551177;13.16155118;-0.808627086
1577944800;1577966400;1577988000;10.00126648;9.899642944;12.12557983;10.06929016;12.66595459;13.07707214;14.19210821;16.0757375;17.83366205;14.19210821;14.26622304;14.34033787;14.41445269;14.48856752;14.56268235;13.28516871;17.83317947;14.26654358;14.28151092;14.29647827;14.31144562;14.32641296;14.34138031;12.21125641;11.7;-0.511256408;-1.585168712;13.28516871;-0.522355213
1577948400;1577970000;1577991600;9.948516846;10.33804321;12.26202393;10.73605347;12.52593994;12.28536987;14.63679717;16.24113016;17.35763647;14.63679717;14.67187668;14.70695619;14.74203571;14.77711522;14.81219473;13.03470396;17.94543457;14.35634766;14.37059962;14.38485158;14.39910355;14.41335551;14.42760748;12.2101579;11.5;-0.710157903;-1.534703957;13.03470396;-0.491927643
1577952000;1577973600;1577995200;10.24649048;9.519393921;12.09606934;10.74481201;13.0737915;11.12762451;14.84727424;16.17228756;16.4359034;14.84727424;14.91905543;14.99083662;15.06261781;15.134399;15.20618019;12.7842392;18.0523243;14.44185944;14.43999558;14.43813172;14.43626786;14.43440399;14.43254013;12.2090594;11.4;-0.809059397;-1.384239201;12.7842392;-0.361500064
1577955600;1577977200;1577998800;10.07411194;9.578933716;13.12576294;11.48600769;13.24417114;-4.411376953;15.27796138;16.34515342;13.84723436;15.27796138;15.34480066;15.41163995;15.47847923;15.54531851;15.61215779;12.53377445;18.03834534;14.43067627;14.48446071;14.53824514;14.59202957;14.64581401;14.69959844;12.20796089;11.3;-0.907960892;-1.233774445;12.53377445;-0.231072494
