times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;
1578196800;1578218400;1578240000;9.316650391;12.99241924;10.40623569;10.79948616;8.024097443;3.672657013;14.2628495;15.27053036;11.03531381
1578200400;1578222000;1578243600;10.04868317;12.29593372;9.872159958;11.15981579;8.030233383;4.240385056;15.01724082;14.68586512;10.74431979
1578204000;1578225600;1578247200;10.44925404;11.52339172;8.63274765;8.105501175;6.920677185;2.372624397;13.2244493;13.44188713;8.952858679
1578207600;1578229200;1578250800;11.17787075;11.32213879;7.987035751;7.798110008;5.747883797;1.813035965;13.62920813;12.69759799;8.190228294
1578211200;1578232800;1578254400;12.39195824;10.83741474;7.061790466;7.901946068;4.334688187;3.982275963;14.69698543;11.67214976;8.107244072
1578214800;1578236400;1578258000;12.78953648;9.461967468;6.924747467;7.869864464;3.012562752;5.274321556;15.01689082;9.929972946;8.704630685
1578218400;1578240000;1578261600;12.52211571;9.451418877;7.689515114;7.707037926;3.565651894;4.639518738;14.70380275;10.10164305;8.98074478
1578222000;1578243600;1578265200;11.97963524;9.515107155;5.006399155;7.548053741;3.038668633;5.998955727;14.15926466;9.988531986;7.813546078
1578225600;1578247200;1578268800;12.59694004;8.574813843;4.668944359;4.416920662;1.732898712;7.918414116;13.34886087;8.748163829;9.192405753
1578229200;1578250800;1578272400;12.43238831;9.045501709;5.067198753;3.448169708;1.133174896;8.364156723;12.90171126;9.116204611;9.77934665
1578232800;1578254400;1578276000;10.95042801;6.968154907;6.138366699;2.770484924;3.740283012;8.645626068;11.29546193;7.908533355;10.60313142
1578236400;1578258000;1578279600;10.19152546;7.268629074;6.558394432;2.686908722;5.606313705;8.526705742;10.53976611;9.179527329;10.75719519
1578240000;1578261600;1578283200;10.55062103;7.391752243;6.585849762;2.975093842;5.792161942;8.077871323;10.96206128;9.390800881;10.42235205
1578243600;1578265200;1578286800;10.302948;5.830282211;6.89689064;2.679830551;6.569800377;8.003774643;10.64576109;8.783761589;10.56539204
1578247200;1578268800;1578290400;7.188934326;4.487683296;5.953686714;1.047027588;7.813014984;8.995968819;7.264781037;9.010133435;10.78767076
1578250800;1578272400;1578294000;7.881015778;3.958949089;4.5116539;2.559941292;8.663035393;9.894511223;8.286356805;9.524781368;10.87457462
1578254400;1578276000;1578297600;5.935482025;5.490790367;5.296632767;3.677054405;8.997488976;12.1595993;6.982168429;10.54056861;13.26311328
1578258000;1578279600;1578301200;5.906921387;6.101211548;6.247497559;5.631546974;8.482422829;13.60680771;8.161252453;10.44874535;14.97252289
1578261600;1578283200;1578304800;6.251488686;6.677444458;6.254600525;6.323753357;7.442973137;15.44233227;8.892185744;9.999305656;16.66090194
1578265200;1578286800;1578308400;5.838316917;6.742156982;6.461328506;6.03883934;7.893928528;16.36429977;8.399614575;10.38127104;17.59372255
1578268800;1578290400;1578312000;5.489160538;6.0272789;6.969177246;6.981865883;8.489216805;16.72854233;8.88129127;10.4112868;18.12218419
1578272400;1578294000;1578315600;4.808381081;5.288280487;6.922744751;8.118688583;9.514321327;16.69306564;9.435763505;10.88522948;18.07160301
1578276000;1578297600;1578319200;6.222377777;4.652312279;6.664672852;8.620194435;11.79861546;16.56077576;10.63135632;12.68271801;17.85153097
1578279600;1578301200;1578322800;6.224980354;5.694913864;5.785140991;7.754579544;12.79221344;16.68781281;9.944037626;14.00259864;17.66213329
1578283200;1578304800;1578326400;7.721206665;5.974989891;5.6144104;7.507514;14.58168697;16.08319855;10.76939176;15.75836601;17.03498986
1578286800;1578308400;1578330000;6.827911377;6.492035866;5.714797974;7.613373756;15.92627048;15.65310383;10.22662377;17.19862266;16.66369033
