times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh
1611471600.0;1611493200.0;1611514800.0;6.181396484375;3.205678939819336;1.1958942413330078;1.9849052429199219;5.46803092956543;5.367256164550781
1611475200.0;1611496800.0;1611518400.0;4.213884353637695;4.029703140258789;0.28949737548828125;3.414875030517578;5.596588134765625;6.027397155761719
1611478800.0;1611500400.0;1611522000.0;4.730873107910156;4.025823593139648;0.4484386444091797;4.721553802490234;5.628870010375977;5.78533935546875
1611482400.0;1611504000.0;1611525600.0;4.941240310668945;3.308380126953125;0.3223743438720703;5.010644912719727;5.602760314941406;6.13909912109375
1611486000.0;1611507600.0;1611529200.0;4.245145797729492;2.530841827392578;-0.4908714294433594;4.78056526184082;5.2757720947265625;6.134235382080078
1611489600.0;1611511200.0;1611532800.0;2.963052749633789;1.3272209167480469;-0.41150474548339844;4.831945419311523;5.382879257202148;6.695842742919922
1611493200.0;1611514800.0;1611536400.0;3.1076507568359375;1.284036636352539;-0.7577857971191406;5.094560623168945;5.157244682312012;6.373477935791016
1611496800.0;1611518400.0;1611540000.0;3.4972610473632812;0.3430767059326172;-1.298776626586914;5.420581817626953;5.333772659301758;5.920322418212891
1611500400.0;1611522000.0;1611543600.0;3.9386215209960938;0.7419662475585938;-1.5654373168945312;5.240628242492676;5.627099990844727;5.155052185058594
1611504000.0;1611525600.0;1611547200.0;3.379291534423828;-0.6885547637939453;-1.676889419555664;4.767568588256836;4.478021621704102;4.062108993530273
1611507600.0;1611529200.0;1611550800.0;2.406282424926758;0.4639091491699219;-0.06617355346679688;4.887325286865234;6.450448989868164;3.226062774658203
1611511200.0;1611532800.0;1611554400.0;0.9771938323974609;-0.3389568328857422;-0.8396644592285156;5.856514930725098;6.859701156616211;3.6874313354492188
1611514800.0;1611536400.0;1611558000.0;1.006277084350586;0.013719558715820312;-1.0587100982666016;4.692333221435547;5.587629318237305;2.374277114868164
1611518400.0;1611540000.0;1611561600.0;-1.1209144592285156;-1.7356624603271484;-0.6692104339599609;5.291680335998535;5.369089126586914;2.0882225036621094
1611522000.0;1611543600.0;1611565200.0;-0.020341873168945312;-1.415506362915039;-0.3693733215332031;5.621381759643555;5.317289352416992;1.9747066497802734
1611525600.0;1611547200.0;1611568800.0;2.4979209899902344;-0.4711170196533203;0.14492225646972656;3.8409080505371094;3.8351478576660156;1.2852935791015625
1611529200.0;1611550800.0;1611572400.0;0.6292858123779297;-0.5241870880126953;0.9204750061035156;7.160573959350586;3.5473899841308594;0.5413837432861328
1611532800.0;1611554400.0;1611576000.0;-1.5612525939941406;-2.5245532989501953;-0.6093883514404297;6.064777374267578;3.387735366821289;0.6824703216552734
1611536400.0;1611558000.0;1611579600.0;-1.7583942413330078;-2.774486541748047;0.3395729064941406;5.666292190551758;2.7208995819091797;0.7570896148681641
1611540000.0;1611561600.0;1611583200.0;-1.8530101776123047;-2.335803985595703;1.4291706085205078;4.933957099914551;2.228029251098633;-0.22704696655273438
1611543600.0;1611565200.0;1611586800.0;-1.9316959381103516;-2.7962799072265625;2.5942745208740234;4.541990280151367;1.3217487335205078;-0.4328746795654297
1611547200.0;1611568800.0;1611590400.0;-1.4925994873046875;-2.6822681427001953;3.0936450958251953;4.431066513061523;-0.4386615753173828;-0.8824138641357422
1611550800.0;1611572400.0;1611594000.0;-2.828765869140625;-1.7225093841552734;3.3108692169189453;3.809976577758789;0.20447158813476562;-1.5950202941894531
1611554400.0;1611576000.0;1611597600.0;-2.5427513122558594;-0.41127967834472656;4.269659042358398;2.8832855224609375;1.278177261352539;-0.6483898162841797
1611558000.0;1611579600.0;1611601200.0;-3.2247657775878906;0.7060546875;5.245491027832031;2.424945831298828;1.1304283142089844;-0.6302223205566406
1611561600.0;1611583200.0;1611604800.0;-2.1268367767333984;2.2354583740234375;5.138425827026367;1.5244007110595703;-0.09587478637695312;0.20966720581054688
1611565200.0;1611586800.0;1611608400.0;-6.137056350708008;3.171234130859375;6.436408996582031;0.8228969573974609;-0.5767078399658203;1.0745410919189453
1611568800.0;1611590400.0;1611612000.0;-0.8455333709716797;3.2291297912597656;7.7453155517578125;-0.8465919494628906;-0.46067047119140625;1.1806411743164062
1611572400.0;1611594000.0;1611615600.0;-1.0422248840332031;3.327791213989258;3.8849945068359375;0.6026878356933594;-0.5381336212158203;-4.232273101806641
