times1_sh;times1_mh;times1_lh;wind_speed_10m_sh;wind_speed_10m_mh;wind_speed_10m_lh;wind_direction_10m_sh;wind_direction_10m_mh;wind_direction_10m_lh;air_pressure_at_sea_level_sh;air_pressure_at_sea_level_mh;air_pressure_at_sea_level_lh;air_temperature_2m_sh;air_temperature_2m_mh;air_temperature_2m_lh;times2_sh;times2_mh;times2_lh;specific_convective_available_potential_energy_sh;specific_convective_available_potential_energy_mh;specific_convective_available_potential_energy_lh;atmosphere_convective_inhibition_sh;atmosphere_convective_inhibition_mh;atmosphere_convective_inhibition_lh
1578502800.0;1578524400.0;1578546000.0;20.673295974731445;16.6757869720459;13.156315803527832;254.0255126953125;259.3619384765625;242.76712036132812;100076.125;100531.125;100644.375;280.4827575683594;280.543701171875;280.09033203125;1578502800.0;1578524400.0;1578546000.0;142.953125;70.25;79.8515625;4.718761920928955;1000.0;1000.0
1578506400.0;1578528000.0;1578549600.0;19.76580238342285;15.385740280151367;11.44435977935791;255.58499145507812;261.8616943359375;239.55111694335938;100126.125;100644.8125;100667.9375;280.4111022949219;280.521484375;279.9784851074219;1578506400.0;1578528000.0;1578549600.0;132.234375;43.8515625;66.203125;1.6875101327896118;1000.0;1000.0
1578510000.0;1578531600.0;1578553200.0;19.722280502319336;13.576483726501465;11.151606559753418;255.70510864257812;258.7007751464844;238.28378295898438;100182.4375;100707.75;100623.9375;280.4034118652344;280.4520263671875;280.0501708984375;1578510000.0;1578531600.0;1578553200.0;129.03125;50.5546875;59.9921875;4.140639781951904;1000.0;1000.0
1578513600.0;1578535200.0;1578556800.0;19.220306396484375;11.809111595153809;11.739591598510742;256.492919921875;254.00634765625;240.71768188476562;100272.5;100757.125;100621.3125;280.508056640625;280.3678283691406;280.010009765625;1578513600.0;1578535200.0;1578556800.0;132.015625;58.5;51.984375;6.468752384185791;1000.0;1000.0
1578517200.0;1578538800.0;1578560400.0;18.531320571899414;11.439634323120117;10.49801254272461;258.1404724121094;246.2667236328125;238.60324096679688;100344.0;100746.125;100659.3125;280.5675964355469;280.3101806640625;279.92254638671875;1578517200.0;1578538800.0;1578560400.0;101.59375;66.046875;99.7109375;107.421875;1000.0000610351562;1000.0
1578520800.0;1578542400.0;1578564000.0;17.74608612060547;10.926602363586426;10.403895378112793;261.27252197265625;242.8863525390625;226.2426300048828;100444.5625;100716.0;100689.0;280.5625915527344;280.14910888671875;279.8487854003906;1578520800.0;1578542400.0;1578564000.0;83.4375;95.4296875;48.15625;1000.0;1000.0;1000.0
1578524400.0;1578546000.0;1578567600.0;16.834653854370117;11.36734676361084;10.072369575500488;262.28802490234375;239.72840881347656;226.43260192871094;100538.0625;100679.9375;100681.125;280.5185546875;280.0419616699219;279.7598571777344;1578524400.0;1578546000.0;1578567600.0;51.0859375;88.7421875;58.75;1000.0;1000.0;1000.0000610351562
1578528000.0;1578549600.0;1578571200.0;14.782230377197266;11.582268714904785;8.240280151367188;266.16973876953125;234.19789123535156;220.67369079589844;100623.875;100640.875;100577.25;280.5325927734375;279.9865417480469;279.7096252441406;1578528000.0;1578549600.0;1578571200.0;22.421875;106.3203125;99.40625;1000.0;5.765718936920166;1000.0000610351562
1578531600.0;1578553200.0;1578574800.0;12.212459564208984;11.305496215820312;7.802489757537842;263.40557861328125;233.89794921875;214.61752319335938;100682.3125;100620.0625;100550.0;280.45947265625;279.87298583984375;279.6600341796875;1578531600.0;1578553200.0;1578574800.0;34.671875;134.0078125;46.859375;1000.0;2.3750436305999756;1000.0
1578535200.0;1578556800.0;1578578400.0;10.613052368164062;10.050165176391602;7.175559997558594;251.91424560546875;237.8197021484375;213.73516845703125;100712.625;100617.875;100562.5;280.45989990234375;279.9117736816406;279.6274108886719;1578535200.0;1578556800.0;1578578400.0;49.78125;120.1875;51.265625;1000.0000610351562;27.68755531311035;1000.0000610351562
